2023-08-25 16:00:02,852 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006521'}
2023-08-25 16:00:03,633 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006521'}
2023-08-25 16:00:04,086 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006521'}
2023-08-25 16:00:04,610 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006595'}
2023-08-25 16:00:05,113 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0063'}
2023-08-25 16:00:05,600 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0063'}
2023-08-25 16:00:06,033 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0063'}
2023-08-25 16:00:06,779 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0063'}
2023-08-25 16:00:07,189 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0063'}
2023-08-25 16:00:07,574 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0063'}
2023-08-25 16:00:07,958 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0063'}
2023-08-25 16:00:08,367 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.0063'}
2023-08-25 16:00:08,754 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:09,720 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:10,278 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:10,861 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006293'}
2023-08-25 16:00:11,281 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006293'}
2023-08-25 16:00:11,778 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:12,519 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:13,232 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:13,769 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:14,288 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:14,675 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006207'}
2023-08-25 16:00:15,067 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:15,563 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:16,304 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:17,075 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:17,842 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:18,442 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:18,940 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005802'}
